0,1
"('ecoinvent-3.4-biosphere', '58c8f0ec-455b-4bc1-b6fb-5d6976619b55')",Zinc-65
"('ecoinvent-3.4-biosphere', '6a5c3836-68f2-4258-8424-eeade996a16a')","Noble gases, radioactive, unspecified"
"('ecoinvent-3.4-biosphere', '7c31a919-91bf-4617-993c-bd980a3cfc3b')",Xenon-133
"('ecoinvent-3.4-biosphere', 'fdda4f8e-b620-4df6-92a9-101a251d2f42')","Transformation, to heterogeneous, agricultural"
"('ecoinvent-3.4-biosphere', 'aca1714f-0040-4a65-a73a-0e38aa9f50f4')","Occupation, forest, intensive"
"('ecoinvent-3.4-biosphere', '64f81516-52e1-4ce6-a22c-84d3f7cc9a53')",Antimony-124
"('ecoinvent-3.4-biosphere', '3a426398-ce2c-4803-aabf-d00b8bc1c277')",Krypton-85m
"('ecoinvent-3.4-biosphere', '9e689d4d-35b4-4c1c-b61f-2d915695bd2a')",Iodine-129
"('ecoinvent-3.4-biosphere', '8e70c356-ceaa-4f83-8a06-55ec5eadd14a')",Niobium-95
"('ecoinvent-3.4-biosphere', '0d6def86-f116-4da2-9f2f-c3d9dab2248d')",Uranium-235
"('ecoinvent-3.4-biosphere', 'e698f4e1-012c-4a19-887e-9a154619f08d')",Technetium-99
"('ecoinvent-3.4-biosphere', '32aaf6ef-c3e7-4c81-8e37-4c3c8768454f')",Curium-242
"('ecoinvent-3.4-biosphere', 'ab4a11c8-14f8-40f1-8c4e-888347bb2546')",Cobalt-60
"('ecoinvent-3.4-biosphere', '01c12fca-ad8b-4902-8b48-2d5afe3d3a0f')","Energy, gross calorific value, in biomass"
"('ecoinvent-3.4-biosphere', 'd54bb4f8-e6d9-46dc-a8ae-e70d5d8562c2')","Occupation, river, natural (non-use)"
"('ecoinvent-3.4-biosphere', '953f7c14-1ad1-47bd-b907-c4d359f2c599')",Iron-59
"('ecoinvent-3.4-biosphere', 'ecc877ac-3c34-4838-b1f8-6ae0ff2cd2fc')",Thorium-228
"('ecoinvent-3.4-biosphere', 'b613b3b0-a98d-4b7a-a908-999ccfe1452d')",Radon-220
"('ecoinvent-3.4-biosphere', 'a7ff17d4-d3fe-4a70-9f2e-392b34630772')","Energy, solar, converted"
"('ecoinvent-3.4-biosphere', '498c8296-8f0c-4aa9-869b-78bb6c299c3a')",Zirconium-95
"('ecoinvent-3.4-biosphere', 'adb4b590-7fb2-47b6-84e7-d4746a94c7b5')","Volume occupied, final repository for radioactive waste"
"('ecoinvent-3.4-biosphere', '78ed3462-c627-458e-889e-6b6a6dcdebeb')",Neptunium-237
"('ecoinvent-3.4-biosphere', '3d73d6c8-145c-48c5-aabe-17b4279c66e0')",Radium-228
"('ecoinvent-3.4-biosphere', 'b79e26a0-88db-441f-b79b-508506e81b93')","Transformation, from dump site, sanitary landfill"
"('ecoinvent-3.4-biosphere', '36a50e5a-1e00-4935-aa35-2a331d9a4045')",Cerium-144
"('ecoinvent-3.4-biosphere', '921762d7-dcd5-4419-8936-07358034702d')",Thorium-234
"('ecoinvent-3.4-biosphere', 'd5ca33b3-f101-4371-b684-c720463ae2ab')",Radium-228
"('ecoinvent-3.4-biosphere', 'a8e39acd-6e7f-4d43-973b-37e6b7c00037')","Transformation, from urban, continuously built"
"('ecoinvent-3.4-biosphere', 'e47a779e-8fcb-4d0e-bcff-b9b14a5be827')",Potassium-40
"('ecoinvent-3.4-biosphere', '4452894a-65a4-4419-b15f-efa90b6a02c4')",Technetium-99
"('ecoinvent-3.4-biosphere', '09872080-d143-4fb1-a3a5-647b077107ff')",Water
"('ecoinvent-3.4-biosphere', '7e59174a-d66b-4304-81dc-e0aeb3c58ae2')",Zirconium-95
"('ecoinvent-3.4-biosphere', 'ea8559cd-e5b3-4e24-8c9e-acb4ef1e7e99')",Thorium-228
"('ecoinvent-3.4-biosphere', 'fe807c9d-7e35-4500-9511-25b92cd6fe53')",Radium-228
"('ecoinvent-3.4-biosphere', '061259d7-7bcc-4298-af3a-63d084191988')","Occupation, unspecified, natural (non-use)"
"('ecoinvent-3.4-biosphere', '6b000ac5-e791-4ca8-ad17-a72d2ca6eca7')",Lead-210
"('ecoinvent-3.4-biosphere', '6f1e995b-5915-4363-bd2c-d1e76ee446e0')",Niobium-95
"('ecoinvent-3.4-biosphere', 'e61a0e03-2c01-4895-89af-4702b1f53480')",Uranium-235
"('ecoinvent-3.4-biosphere', 'b06ca23e-c6c0-478b-a65c-50e5e5dd8440')","Transformation, from river, natural (non-use)"
"('ecoinvent-3.4-biosphere', '9b24671c-b053-43aa-b93a-f2c16e251e63')",Ruthenium-103
"('ecoinvent-3.4-biosphere', 'c708b024-c922-4c43-8a49-81c472c48f75')",Iodine-133
"('ecoinvent-3.4-biosphere', '793f8194-88c0-4315-b59e-58de48ba6ce4')",Radium-228
"('ecoinvent-3.4-biosphere', '631d9552-1190-4edf-abc9-319139c90bd4')","Transformation, from river, artificial"
"('ecoinvent-3.4-biosphere', '14de323f-9e2d-4beb-b28e-6b93bae98da8')","Transformation, to inland waterbody, unspecified"
"('ecoinvent-3.4-biosphere', '7ab5611b-c200-464f-8edf-b7b59ca1889d')",Cobalt-58
"('ecoinvent-3.4-biosphere', '98bd0642-19d0-4c76-930e-03136c21cc20')",Radon-220
"('ecoinvent-3.4-biosphere', '8a049876-3082-49ab-af0a-511ef7d331a9')",Niobium-95
"('ecoinvent-3.4-biosphere', 'e6aafd63-a6d5-41f7-9b82-45f791c7037c')",Uranium-238
"('ecoinvent-3.4-biosphere', '4c54be62-05f1-4201-940d-f161537be704')",Thorium-232
"('ecoinvent-3.4-biosphere', 'e3502f7b-0690-4b1e-8e1c-22f6886c26a1')","Transformation, from lake, natural (non-use)"
"('ecoinvent-3.4-biosphere', 'f59ba4cd-0354-404c-94c3-905de50980f3')",Curium alpha
"('ecoinvent-3.4-biosphere', 'eadea134-34d3-4581-9b0b-a59533dfd526')",Iodine-133
"('ecoinvent-3.4-biosphere', 'deafd761-4499-40e3-8667-06c91f204f6f')",Radium-228
"('ecoinvent-3.4-biosphere', 'db1e4137-27a3-4b89-99af-42a18271c144')","Occupation, wetland, inland (non-use)"
"('ecoinvent-3.4-biosphere', '543421e8-f0b3-45a2-b0ed-03489e878138')",Uranium-238
"('ecoinvent-3.4-biosphere', '0a75cbfb-253f-4378-874b-8fb1c9cfef60')",Strontium-89
"('ecoinvent-3.4-biosphere', 'e61544d9-cf2f-4001-a855-9a014c2972ac')",Xenon-133m
"('ecoinvent-3.4-biosphere', '8d04e67c-b6a6-45dc-bce8-5deeb20720f3')",Krypton-89
"('ecoinvent-3.4-biosphere', 'e744dc0a-de91-43db-b95e-76d72ba16678')",Lanthanum-140
"('ecoinvent-3.4-biosphere', '201afd00-a74f-4ede-bbf7-770e39ed6471')",Lanthanum-140
"('ecoinvent-3.4-biosphere', 'd91700b6-1760-4e8c-8501-fa5f12559ba0')",Xenon-133m
"('ecoinvent-3.4-biosphere', '282d4a11-f053-47cf-89a4-aafa3184d61d')",Iron-59
"('ecoinvent-3.4-biosphere', '1d090e68-dd03-478b-82d4-09695ffc939a')",Americium-241
"('ecoinvent-3.4-biosphere', '66da73e8-49bd-4171-9fcd-b5e85854aeda')",Curium alpha
"('ecoinvent-3.4-biosphere', 'da5c6969-8f16-4d53-a424-d87ff6ab1470')",Plutonium-241
"('ecoinvent-3.4-biosphere', 'a9336e5c-85b9-4f12-b177-92b9bb5bdd35')",Plutonium-alpha
"('ecoinvent-3.4-biosphere', 'b71d0281-e4b2-4831-a2bd-aed221d2a15f')",Zirconium-95
"('ecoinvent-3.4-biosphere', '6e7276bb-64f5-4421-8696-b0103b687ddd')",Carbon-14
"('ecoinvent-3.4-biosphere', 'b8efaa9d-2335-4a90-be50-9e6169133e80')",Americium-241
"('ecoinvent-3.4-biosphere', '9cc80820-fcf9-4ea9-8e67-0aa423eba6a4')","Transformation, from forest, secondary (non-use)"
"('ecoinvent-3.4-biosphere', '70896cfa-fd83-4a5d-b663-74f7e4670217')",Niobium-95
"('ecoinvent-3.4-biosphere', '8c7101c8-0542-4e61-b847-c97237b86022')",Curium-244
"('ecoinvent-3.4-biosphere', '2e7b6bd9-c3af-498f-8d33-b172fc82c688')",Silver-110
"('ecoinvent-3.4-biosphere', '6d1a5ae7-22cd-458c-a854-a5f2e7b2c00b')",Ruthenium-103
"('ecoinvent-3.4-biosphere', 'c5cd9e97-8986-4cb5-b3a5-adac2cc40d1a')",Krypton-87
"('ecoinvent-3.4-biosphere', '9b5b8c40-38fe-42fb-8130-56c15e485fd0')","Transformation, to seabed, drilling and mining"
"('ecoinvent-3.4-biosphere', 'fe17e7c1-9574-4880-b7e6-ec09c2e3ae5d')","Transformation, to grassland, natural (non-use)"
"('ecoinvent-3.4-biosphere', '15648250-4537-4960-a6dc-0802d39c26a7')",Radium-226
"('ecoinvent-3.4-biosphere', 'c9461a73-d00a-4fc7-a890-a9eda6af3185')","Occupation, permanent crop, non-irrigated, intensive"
"('ecoinvent-3.4-biosphere', '478e8437-1c21-4032-8438-872a6b5ddcdf')","Water, unspecified natural origin"
"('ecoinvent-3.4-biosphere', 'f5f7c4c3-ce9d-47ec-8c97-62d70b286203')",Xenon-133
"('ecoinvent-3.4-biosphere', '6e769b2f-11ce-4ec1-ad99-a27c93361e72')",Thorium-228
"('ecoinvent-3.4-biosphere', 'dfbe093a-f470-4ae7-a207-50444f1f23f1')","Heat, waste"
"('ecoinvent-3.4-biosphere', '71ddd53a-4720-49b5-86c9-9ab899365630')",Cobalt-57
"('ecoinvent-3.4-biosphere', '001790f3-fd86-4a0d-a2a1-06c7099d90c8')",Xenon-137
"('ecoinvent-3.4-biosphere', '20604bc5-214d-4883-97e3-9b43078c634b')",Krypton-87
"('ecoinvent-3.4-biosphere', '630a48ab-c9f7-4bf0-9efd-9f865934c2c8')","Radioactive species, other beta emitters"
"('ecoinvent-3.4-biosphere', 'e4d0d0b9-a68d-4c1b-ad8f-77f18a767d0d')",Thorium-234
