0,1
"('ecoinvent-3.4-biosphere', '1cd8762b-d985-4206-b57e-f321e9b52399')",Prothioconazol
"('ecoinvent-3.4-biosphere', '1cd8762b-d985-4206-b57e-f321e9b52399')",Prothioconazol
"('ecoinvent-3.4-biosphere', 'b42ad523-227d-4774-bcc6-a5f4f7ba2bb2')",Methyl amine
"('ecoinvent-3.4-biosphere', 'b42ad523-227d-4774-bcc6-a5f4f7ba2bb2')",Methyl amine
"('ecoinvent-3.4-biosphere', 'b42ad523-227d-4774-bcc6-a5f4f7ba2bb2')",Methyl amine
"('ecoinvent-3.4-biosphere', '34cbdeb9-6462-4938-a048-881a9f7e6978')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', '34cbdeb9-6462-4938-a048-881a9f7e6978')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', '34cbdeb9-6462-4938-a048-881a9f7e6978')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', '0985a2b2-b411-4c95-a955-1aa5bb64bd08')",Xylene
"('ecoinvent-3.4-biosphere', '0985a2b2-b411-4c95-a955-1aa5bb64bd08')",Xylene
"('ecoinvent-3.4-biosphere', '0985a2b2-b411-4c95-a955-1aa5bb64bd08')",Xylene
"('ecoinvent-3.4-biosphere', '79459b74-727a-465f-b0cb-aae38d1d39cc')","Oils, non-fossil"
"('ecoinvent-3.4-biosphere', '79459b74-727a-465f-b0cb-aae38d1d39cc')","Oils, non-fossil"
"('ecoinvent-3.4-biosphere', '79459b74-727a-465f-b0cb-aae38d1d39cc')","Oils, non-fossil"
"('ecoinvent-3.4-biosphere', '7ab739f8-8846-4b20-a36b-c35e27053073')","Disinfectants, unspecified"
"('ecoinvent-3.4-biosphere', '7ab739f8-8846-4b20-a36b-c35e27053073')","Disinfectants, unspecified"
"('ecoinvent-3.4-biosphere', '7ab739f8-8846-4b20-a36b-c35e27053073')","Disinfectants, unspecified"
"('ecoinvent-3.4-biosphere', '51c35cf0-3417-4d42-936f-9a6fd7a2638a')","Suspended solids, unspecified"
"('ecoinvent-3.4-biosphere', '51c35cf0-3417-4d42-936f-9a6fd7a2638a')","Suspended solids, unspecified"
"('ecoinvent-3.4-biosphere', '51c35cf0-3417-4d42-936f-9a6fd7a2638a')","Suspended solids, unspecified"
"('ecoinvent-3.4-biosphere', 'cfa6de56-8a29-4a27-8868-fb6d1f092d36')",Prothioconazol
"('ecoinvent-3.4-biosphere', 'cfa6de56-8a29-4a27-8868-fb6d1f092d36')",Prothioconazol
"('ecoinvent-3.4-biosphere', 'cfa6de56-8a29-4a27-8868-fb6d1f092d36')",Prothioconazol
