0,1,2,3,4,5
"('ecoinvent-3.4-biosphere', '2257e9f9-f38c-494b-b99f-f49b4768b4b9')",Phosphoric acid,Phosphoric acid,H3O4P,97.995,-0.0
"('ecoinvent-3.4-biosphere', '2257e9f9-f38c-494b-b99f-f49b4768b4b9')",Phosphoric acid,Phosphoric acid,H3O4P,97.995,-0.0
"('ecoinvent-3.4-biosphere', '21501e81-6395-4404-9cd6-001c6a686fd1')",Chloroacetyl chloride,Chloroacetyl chloride,C2H2Cl2O,112.94,
"('ecoinvent-3.4-biosphere', '21501e81-6395-4404-9cd6-001c6a686fd1')",Chloroacetyl chloride,Chloroacetyl chloride,C2H2Cl2O,112.94,
"('ecoinvent-3.4-biosphere', '21501e81-6395-4404-9cd6-001c6a686fd1')",Chloroacetyl chloride,Chloroacetyl chloride,C2H2Cl2O,112.94,
"('ecoinvent-3.4-biosphere', '5c238e5f-97c8-4837-8d67-48899ddd43be')",Acenaphthene,Acenaphthene,C12H10,154.21,
"('ecoinvent-3.4-biosphere', '5c238e5f-97c8-4837-8d67-48899ddd43be')",Acenaphthene,Acenaphthene,C12H10,154.21,
"('ecoinvent-3.4-biosphere', '5c238e5f-97c8-4837-8d67-48899ddd43be')",Acenaphthene,Acenaphthene,C12H10,154.21,
"('ecoinvent-3.4-biosphere', '506fe866-1081-4152-a19d-b50825f99d83')",Bromate,Bromate,BrO3-,127.9,
"('ecoinvent-3.4-biosphere', '506fe866-1081-4152-a19d-b50825f99d83')",Bromate,Bromate,BrO3-,127.9,
"('ecoinvent-3.4-biosphere', '506fe866-1081-4152-a19d-b50825f99d83')",Bromate,Bromate,BrO3-,127.9,
"('ecoinvent-3.4-biosphere', '64836dd0-8b0f-41ba-a7d3-be54358fc4b3')",Phenol,Phenol,C6H6O,94.11,
"('ecoinvent-3.4-biosphere', '64836dd0-8b0f-41ba-a7d3-be54358fc4b3')",Phenol,Phenol,C6H6O,94.11,
"('ecoinvent-3.4-biosphere', '64836dd0-8b0f-41ba-a7d3-be54358fc4b3')",Phenol,Phenol,C6H6O,94.11,
"('ecoinvent-3.4-biosphere', 'a592250d-c73f-4c22-8a20-7f3383f996f0')",Arsine,Arsine,AsH3,77.946,
"('ecoinvent-3.4-biosphere', 'a592250d-c73f-4c22-8a20-7f3383f996f0')",Arsine,Arsine,AsH3,77.946,
"('ecoinvent-3.4-biosphere', 'a592250d-c73f-4c22-8a20-7f3383f996f0')",Arsine,Arsine,AsH3,77.946,
"('ecoinvent-3.4-biosphere', '400be66e-4383-482a-93e3-c005e96de261')","Ethane, 1-chloro-1,1-difluoro-, HCFC-142b","1-chloro-1,1-difluoroEthane",C2H3ClF2,100.49,
"('ecoinvent-3.4-biosphere', '400be66e-4383-482a-93e3-c005e96de261')","Ethane, 1-chloro-1,1-difluoro-, HCFC-142b","1-chloro-1,1-difluoroEthane",C2H3ClF2,100.49,
"('ecoinvent-3.4-biosphere', '400be66e-4383-482a-93e3-c005e96de261')","Ethane, 1-chloro-1,1-difluoro-, HCFC-142b","1-chloro-1,1-difluoroEthane",C2H3ClF2,100.49,
"('ecoinvent-3.4-biosphere', 'be248928-14cd-4478-978c-13c040c1c4a9')",Boron trifluoride,Boron trifluoride,BF3,67.81,
"('ecoinvent-3.4-biosphere', 'be248928-14cd-4478-978c-13c040c1c4a9')",Boron trifluoride,Boron trifluoride,BF3,67.81,
"('ecoinvent-3.4-biosphere', 'be248928-14cd-4478-978c-13c040c1c4a9')",Boron trifluoride,Boron trifluoride,BF3,67.81,
